Operation,Time (ms),Events,Exchange Name,Model Name,Execution Time
ValidateExhange:ListOfSelectedObjectIDs,12,2,Demo20241217012703,Demo1.3dm,
CreateExchangeAsync,3062,1,Demo20241217012703,Demo1.3dm,
UpdateExchangeAsync,76994,2,Demo20241217012703,Demo1.3dm,
GetExchangeFromCache,0,1,Demo20241217012703,Demo1.3dm,
UpdateExchangeAsync:StartUploadRhinoObjects,4948,1,Demo20241217012703,Demo1.3dm,
ProcessRhinoObjectToCreateFile:CreateStepFilesForObject,4920,2,Demo20241217012703,Demo1.3dm,
ExportAndCreateBrep,4644,2,Demo20241217012703,Demo1.3dm,
CreateMeshElement:CreateMeshGeometry,4642,2,Demo20241217012703,Demo1.3dm,
CreateCustomParameter:CreateParameter,188,2,Demo20241217012703,Demo1.3dm,
GetSchemaAsync,6,4,Demo20241217012703,Demo1.3dm,
GetSchemaAsync:GetFromResource,5,4,Demo20241217012703,Demo1.3dm,
UpdateExchangeAsync:SyncExchangeDataAsync,11962,1,Demo20241217012703,Demo1.3dm,
SyncExchangeDataAsync,11950,1,Demo20241217012703,Demo1.3dm,
ProcessRenderStylesFromFileGeometry,3,1,Demo20241217012703,Demo1.3dm,
GetAllAssetInfosWithTranslatedGeometryPath,7014,1,Demo20241217012703,Demo1.3dm,
GUSDK:GeometriesToInternal,7008,1,Demo20241217012703,Demo1.3dm,
UploadGeometries,1584,1,Demo20241217012703,Demo1.3dm,
UploadBinaryPacksAsGeometries,1287,1,Demo20241217012703,Demo1.3dm,
UploadCustomGeometries,56922,0,Demo20241217012703,Demo1.3dm,
AssetToSyncResult,62,1,Demo20241217012703,Demo1.3dm,
GetSchemasAsync,0,1,Demo20241217012703,Demo1.3dm,
RelationshipToSyncRequest,5,1,Demo20241217012703,Demo1.3dm,
SchemaToSyncRequest,2,1,Demo20241217012703,Demo1.3dm,
PrepareBatchedSyncRequests,3,1,Demo20241217012703,Demo1.3dm,
TriggerBatchedSyncRequests,64,1,Demo20241217012703,Demo1.3dm,
TriggerProcessGeometry,1,1,Demo20241217012703,Demo1.3dm,
WaitForAllSyncCalls,239,1,Demo20241217012703,Demo1.3dm,
FinishFulfillment,314,1,Demo20241217012703,Demo1.3dm,
PollForFulfillment,2432,1,Demo20241217012703,Demo1.3dm,
SaveToCache,62,1,Demo20241217012703,Demo1.3dm,
